Id,Straatnaam,Huisnummer,Huisletter,Huisnummertoevoeging,Postcode,Woonplaatsnaam,Statusadres,Gebruiksdoelwoonfunctie,Afvalwijzerinstructie,Afvalwijzerbasisroutetypeid,Afvalwijzerroutenaam,Afvalwijzerperxweken,Afvalwijzerbuitenzettenvanaftot,Afvalwijzerbuitenzettenvanaf,Afvalwijzerbuitenzettentot,Afvalwijzerafvalkalenderopmerking,Afvalwijzerafvalkalenderfrequentie,Afvalwijzerfractienaam,Afvalwijzerfractiecode,Afvalwijzerroutetypenaam,Afvalwijzerophaaldagen,Afvalwijzerafvalkalendermelding,Afvalwijzerafvalkalendervan,Afvalwijzerafvalkalendertot,Afvalwijzerbasisroutetype,Afvalwijzerbasisroutetypeomschrijving,Afvalwijzerbasisroutetypecode,Afvalwijzergeometrie,Afvalwijzerinstructie2,Afvalwijzerophaaldagen2,Afvalwijzerwaar,Afvalwijzerbuitenzetten,Afvalwijzerbuttontekst,Afvalwijzerurl,Bagnummeraanduidingid,Gbdbuurtid,Gbdbuurtcode,Afvalwijzerinzamelgebiednaam,Afvalwijzerinzamelgebiedcode
0363200000006110~Glas,Eerste Anjeliersdwarsstraat,1,,H,1015NR,Amsterdam,Verblijfsobject in gebruik,False,,,,,,,,,,Glas,Glas,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor glas,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006110,03630980000029,AB05,,
"0363200000006110~Groente, Fruit en Tuin Afval",Eerste Anjeliersdwarsstraat,1,,H,1015NR,Amsterdam,Verblijfsobject in gebruik,False,,44473046320284952,Gfe/t_bij_rest-Ophalen-Korf(CentrumENWestpoort),1,,,,"Tuinafval dat niet in een vuilniszak past, mag u als grof afval weg doen",,"Groente, Fruit en Tuin Afval",GFT,Bij het restafval,"maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag, zondag","Kerstbomen kun je van 2 t/m 13 januari kwijt op een <a href=""https://kaart.amsterdam.nl/ophaalpunten-kerstbomen-2023"">inleverplek in de buurt</a>",2022-12-31T23:00:00,2023-01-13T23:00:00,Verzamelcontainers,Routetypecoce gecreerd om daar waar GFT niet met bak of verzamelcontainer wordt ingezemeld toch aan een planning te koppelen zodat we opmerkingen en alerts kunnen plaatsen,BIJREST,SRID=28992;POINT (120700 487936),Bij het restafval,,,,,,0363200000006110,03630980000029,AB05,Centrum-West,GA01
0363200000006110~Grof,Eerste Anjeliersdwarsstraat,1,,H,1015NR,Amsterdam,Verblijfsobject in gebruik,False,,44473046320283650,GA_Centrum_Opafspraak,1,,,,"Of breng het naar <a href=""https://kaart.amsterdam.nl/afvalpunten"">een Afvalpunt</a>",,Grof,GA,Grofvuil Route op afspraak,"maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag",,,,Grof_afval,Grofvuil Route op afspraak,GROFAFSPR,SRID=28992;POINT (120700 487936),U kunt uw grof afval wegbrengen naar een Afvalpunt of laten ophalen door een bedrijf,,,,,https://kaart.amsterdam.nl/afvalpunten,0363200000006110,03630980000029,AB05,Centrum-West,GA01
0363200000006110~Papier,Eerste Anjeliersdwarsstraat,1,,H,1015NR,Amsterdam,Verblijfsobject in gebruik,False,,,,,,,,,,Papier,Papier,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor papier,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006110,03630980000029,AB05,,
0363200000006110~Plastic,Eerste Anjeliersdwarsstraat,1,,H,1015NR,Amsterdam,Verblijfsobject in gebruik,False,,,,,,,,,,Plastic,Plastic,,,,,,,,,SRID=28992;POINT (120700 487936),Bij het restafval,,,,,,0363200000006110,03630980000029,AB05,,
0363200000006110~Rest,Eerste Anjeliersdwarsstraat,1,,H,1015NR,Amsterdam,Verblijfsobject in gebruik,False,,44473046320284451,Rest_Centrum_Dinsdagenvrijdag_Dinsdagenvrijdagvanaf06.00,1,Tussen 06.00 en 07.30 uur,Tussen 06.00,en 07.30 uur,,,Rest,Rest,Zakken Route,"dinsdag, vrijdag",,,,Inzamelgebied,Zakken Route,ZAKKENRT,SRID=28992;POINT (120700 487936),In vuilniszak,"dinsdag, vrijdag",Aan de rand van de stoep of op de vaste plek,Tussen 06.00 en 07.30 uur,,,0363200000006110,03630980000029,AB05,A-Centrum-Stedelijke_Inzameling-F-313 (Jordaan oa),F-313
0363200000006110~Textiel,Eerste Anjeliersdwarsstraat,1,,H,1015NR,Amsterdam,Verblijfsobject in gebruik,False,,,,,,,,,,Textiel,Textiel,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor textiel,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006110,03630980000029,AB05,,
0363200000006111~Glas,Eerste Anjeliersdwarsstraat,1,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Glas,Glas,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor glas,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006111,03630980000029,AB05,,
"0363200000006111~Groente, Fruit en Tuin Afval",Eerste Anjeliersdwarsstraat,1,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,44473046320284952,Gfe/t_bij_rest-Ophalen-Korf(CentrumENWestpoort),1,,,,"Tuinafval dat niet in een vuilniszak past, mag u als grof afval weg doen",,"Groente, Fruit en Tuin Afval",GFT,Bij het restafval,"maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag, zondag","Kerstbomen kun je van 2 t/m 13 januari kwijt op een <a href=""https://kaart.amsterdam.nl/ophaalpunten-kerstbomen-2023"">inleverplek in de buurt</a>",2022-12-31T23:00:00,2023-01-13T23:00:00,Verzamelcontainers,Routetypecoce gecreerd om daar waar GFT niet met bak of verzamelcontainer wordt ingezemeld toch aan een planning te koppelen zodat we opmerkingen en alerts kunnen plaatsen,BIJREST,SRID=28992;POINT (120700 487936),Bij het restafval,,,,,,0363200000006111,03630980000029,AB05,Centrum-West,GA01
0363200000006111~Grof,Eerste Anjeliersdwarsstraat,1,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,44473046320283650,GA_Centrum_Opafspraak,1,,,,"Of breng het naar <a href=""https://kaart.amsterdam.nl/afvalpunten"">een Afvalpunt</a>",,Grof,GA,Grofvuil Route op afspraak,"maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag",,,,Grof_afval,Grofvuil Route op afspraak,GROFAFSPR,SRID=28992;POINT (120700 487936),of bel 14020,,,,Maak een afspraak,https://formulieren.amsterdam.nl/TriplEforms/Directregelen/formulier/nl-NL/evAmsterdam/grofafval.aspx,0363200000006111,03630980000029,AB05,Centrum-West,GA01
0363200000006111~Papier,Eerste Anjeliersdwarsstraat,1,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Papier,Papier,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor papier,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006111,03630980000029,AB05,,
0363200000006111~Plastic,Eerste Anjeliersdwarsstraat,1,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Plastic,Plastic,,,,,,,,,SRID=28992;POINT (120700 487936),Bij het restafval,,,,,,0363200000006111,03630980000029,AB05,,
0363200000006111~Rest,Eerste Anjeliersdwarsstraat,1,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,44473046320284451,Rest_Centrum_Dinsdagenvrijdag_Dinsdagenvrijdagvanaf06.00,1,Tussen 06.00 en 07.30 uur,Tussen 06.00,en 07.30 uur,,,Rest,Rest,Zakken Route,"dinsdag, vrijdag",,,,Inzamelgebied,Zakken Route,ZAKKENRT,SRID=28992;POINT (120700 487936),In vuilniszak,"dinsdag, vrijdag",Aan de rand van de stoep of op de vaste plek,Tussen 06.00 en 07.30 uur,,,0363200000006111,03630980000029,AB05,A-Centrum-Stedelijke_Inzameling-F-313 (Jordaan oa),F-313
0363200000006111~Textiel,Eerste Anjeliersdwarsstraat,1,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Textiel,Textiel,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor textiel,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006111,03630980000029,AB05,,
0363200000006112~Glas,Eerste Anjeliersdwarsstraat,1,,2,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Glas,Glas,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor glas,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006112,03630980000029,AB05,,
"0363200000006112~Groente, Fruit en Tuin Afval",Eerste Anjeliersdwarsstraat,1,,2,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,44473046320284952,Gfe/t_bij_rest-Ophalen-Korf(CentrumENWestpoort),1,,,,"Tuinafval dat niet in een vuilniszak past, mag u als grof afval weg doen",,"Groente, Fruit en Tuin Afval",GFT,Bij het restafval,"maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag, zondag","Kerstbomen kun je van 2 t/m 13 januari kwijt op een <a href=""https://kaart.amsterdam.nl/ophaalpunten-kerstbomen-2023"">inleverplek in de buurt</a>",2022-12-31T23:00:00,2023-01-13T23:00:00,Verzamelcontainers,Routetypecoce gecreerd om daar waar GFT niet met bak of verzamelcontainer wordt ingezemeld toch aan een planning te koppelen zodat we opmerkingen en alerts kunnen plaatsen,BIJREST,SRID=28992;POINT (120700 487936),Bij het restafval,,,,,,0363200000006112,03630980000029,AB05,Centrum-West,GA01
0363200000006112~Grof,Eerste Anjeliersdwarsstraat,1,,2,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,44473046320283650,GA_Centrum_Opafspraak,1,,,,"Of breng het naar <a href=""https://kaart.amsterdam.nl/afvalpunten"">een Afvalpunt</a>",,Grof,GA,Grofvuil Route op afspraak,"maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag",,,,Grof_afval,Grofvuil Route op afspraak,GROFAFSPR,SRID=28992;POINT (120700 487936),of bel 14020,,,,Maak een afspraak,https://formulieren.amsterdam.nl/TriplEforms/Directregelen/formulier/nl-NL/evAmsterdam/grofafval.aspx,0363200000006112,03630980000029,AB05,Centrum-West,GA01
0363200000006112~Papier,Eerste Anjeliersdwarsstraat,1,,2,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Papier,Papier,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor papier,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006112,03630980000029,AB05,,
0363200000006112~Plastic,Eerste Anjeliersdwarsstraat,1,,2,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Plastic,Plastic,,,,,,,,,SRID=28992;POINT (120700 487936),Bij het restafval,,,,,,0363200000006112,03630980000029,AB05,,
0363200000006112~Rest,Eerste Anjeliersdwarsstraat,1,,2,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,44473046320284451,Rest_Centrum_Dinsdagenvrijdag_Dinsdagenvrijdagvanaf06.00,1,Tussen 06.00 en 07.30 uur,Tussen 06.00,en 07.30 uur,,,Rest,Rest,Zakken Route,"dinsdag, vrijdag",,,,Inzamelgebied,Zakken Route,ZAKKENRT,SRID=28992;POINT (120700 487936),In vuilniszak,"dinsdag, vrijdag",Aan de rand van de stoep of op de vaste plek,Tussen 06.00 en 07.30 uur,,,0363200000006112,03630980000029,AB05,A-Centrum-Stedelijke_Inzameling-F-313 (Jordaan oa),F-313
0363200000006112~Textiel,Eerste Anjeliersdwarsstraat,1,,2,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Textiel,Textiel,,,,,,,,,SRID=28992;POINT (120700 487936),In de container voor textiel,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006112,03630980000029,AB05,,
0363200000006114~Glas,Eerste Anjeliersdwarsstraat,3,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Glas,Glas,,,,,,,,,SRID=28992;POINT (120703 487931),In de container voor glas,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006114,03630980000029,AB05,,
"0363200000006114~Groente, Fruit en Tuin Afval",Eerste Anjeliersdwarsstraat,3,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,44473046320284952,Gfe/t_bij_rest-Ophalen-Korf(CentrumENWestpoort),1,,,,"Tuinafval dat niet in een vuilniszak past, mag u als grof afval weg doen",,"Groente, Fruit en Tuin Afval",GFT,Bij het restafval,"maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag, zondag","Kerstbomen kun je van 2 t/m 13 januari kwijt op een <a href=""https://kaart.amsterdam.nl/ophaalpunten-kerstbomen-2023"">inleverplek in de buurt</a>",2022-12-31T23:00:00,2023-01-13T23:00:00,Verzamelcontainers,Routetypecoce gecreerd om daar waar GFT niet met bak of verzamelcontainer wordt ingezemeld toch aan een planning te koppelen zodat we opmerkingen en alerts kunnen plaatsen,BIJREST,SRID=28992;POINT (120703 487931),Bij het restafval,,,,,,0363200000006114,03630980000029,AB05,Centrum-West,GA01
0363200000006114~Grof,Eerste Anjeliersdwarsstraat,3,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,44473046320283650,GA_Centrum_Opafspraak,1,,,,"Of breng het naar <a href=""https://kaart.amsterdam.nl/afvalpunten"">een Afvalpunt</a>",,Grof,GA,Grofvuil Route op afspraak,"maandag, dinsdag, woensdag, donderdag, vrijdag, zaterdag",,,,Grof_afval,Grofvuil Route op afspraak,GROFAFSPR,SRID=28992;POINT (120703 487931),of bel 14020,,,,Maak een afspraak,https://formulieren.amsterdam.nl/TriplEforms/Directregelen/formulier/nl-NL/evAmsterdam/grofafval.aspx,0363200000006114,03630980000029,AB05,Centrum-West,GA01
0363200000006114~Papier,Eerste Anjeliersdwarsstraat,3,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Papier,Papier,,,,,,,,,SRID=28992;POINT (120703 487931),In de container voor papier,,Kaart met containers in de buurt,,,https://kaart.amsterdam.nl/afvalcontainers,0363200000006114,03630980000029,AB05,,
0363200000006114~Plastic,Eerste Anjeliersdwarsstraat,3,,1,1015NR,Amsterdam,Verblijfsobject in gebruik,True,,,,,,,,,,Plastic,Plastic,,,,,,,,,SRID=28992;POINT (120703 487931),Bij het restafval,,,,,,0363200000006114,03630980000029,AB05,,
